name,volume,image,ibu,country,abv,style,price,description
Anchor Porter,355 ml,https://i.imgur.com/zkLKKd9.jpg,10,USA,5.6,Porter,19.9,"O estilo inglês que ganhou os EUA e o mundo, rico em sabores e aromas maltados como chocolate, toffe, caramelo e uma baixa presença de café mas que nunca deve se assimilar a torrado ou café expresso. Sua cor é marrom escura com notas avermelhadas, cremosa, encorpada, a Anchor Porter vem sendo produzida desde 1972 quando a cervejaria completava 40 anos, desde aquela época já com uma pegada de lúpulos americanos, um pouco mais de amargor do que as Porters tradicionais inglesas"
Brooklyn Brown Ale,355 ml,https://i.imgur.com/DzXTsxu.jpg,20,USA,5.6,Brown Ale,29.9,"Brooklyn Brewery, iniciou suas atividades como uma cervejaria Cigana, ou seja, produzindo sua cerveja em uma fábrica alugando seu espaço de produção, após 10 anos a chegada do atual mestre cervejeiro Garrett Oliver deu-se um marco importante, a fundação da Brooklyn Brewery física, a abertura da sua própria fábrica. A Brooklyn Brown Ale é um estilo de cerveja mais maltada, de cor cobre ou marrom claro, balanceada entre o dulçor do malte e o amargor do lúpulo."
Brooklyn East IPA,355 ml,https://i.imgur.com/dOMbJzw.jpg,20,USA,6.8,American IPA,29.9,"A Brooklyn East IPA é inspirada nas East Índia Pale Ales originais feitas na Inglaterra em meados do século 19 para as tropas inglesas na Índia. A East Índia Pale Ale é de um dourado escuro feita com malte britânico e uma mistura de lúpulo com a escolha da variedade East Kent Golding. É tradicionalmente produzida pelo método dry-hopped para um claro aroma de lúpulo, erva-limeira, pinheiro e frutas cítricas, um amargor robusto, um agradável sabor de malte e um final de amargo."
Chimay Blue,330 ml,https://i.imgur.com/8eNZx5z.jpg,30,Belgium,9,Belgian Strong Dark Ale,32.9,"Inicialmente produzida como uma cerveja natalina em 1956, era uma cerveja sazonal e mais encorpada, atualmente conhecida como chimay blue, classificada muitas vezes como dark strong ale ou quadrupel. Apesar de ambos os estilos serem parecidos e confundidos a dark strong ale é um pouco mais leve do que a quadrupel, essa confusão ocorria porque o guia de estudos do BJCP não tinha uma categoria para as Quadrupel, que então se agrupavam como Dark Strong Ale ou Belgian Specialty."
Chimay Rouge,330 ml,https://i.imgur.com/pm24DzB.jpg,30,Belgium,7,Belgian Dubbel,29.9,"Chimay Rouge ou Red, ambas são a mesma cerveja, apenas apelidadas com nomes diferentes, uma pela receita outra pelo rótulo. Com a adição de candi sugar e feita por um mosteiro Trapista, oferece notas maltadas, aromas de frutas secas e leves notas de caramelo. Sua coloração marrom da o nome da cerveja Rouge, porém seu rótulo vermelho facilitou a cerveja a ser nomeada como chimay red."
Erdinger Dunkel,500 ml,https://i.imgur.com/TgvEUgE.jpg,20,Germany,5.6,Dunkel Weizen,17.9,"A Erdinger Dunkel é uma weizen escura com leve toque de toffe/chocolate que são proporcionados pelos maltes tostados, além de um aroma complexo, fruto da mistura dos aromas de banana e cravo das weizen tradicionais. Refermentada em garrafa, esta cerveja contém 5,6% de álcool.."
Paulaner Hefe Weiss,500 ml,https://i.imgur.com/WoVMMyt.jpg,20,Germany,5.5,German Weizen,21.9,"Uma das melhores cervejas de trigo, a Paulaner Hefe-Weissbier Naturtrüb também é conhecida como “cerveja para o café da manhã”, na região da Bavária. Isso por ser uma cerveja de fácil digestão e leve. Sutilmente amarga, não filtrada e de cor amarela turva, esta cerveja com teor alcoólico de 5,5% possui o clássico aroma do estilo Weiss de cravo e banana. Com sabores frutados, malte adocicado e cravo, o sabor se assemelha muito aos aromas."
La Trappe Blond,330 ml,https://i.imgur.com/L7UGbzy.jpg,30,Netherlands,6.5,Belgian Blond Ale,24.9,"A La Trappe Blond é uma cerveja balanceada, refrescante, de coloração dourada e aroma e paladar frutados, florais e perfumados. Com notas de banana e maltes equilibrados, é uma cerveja que segue as características do estilo."
La Trappe Witbier,330 ml,https://i.imgur.com/lBUvAXO.jpg,20,Netherlands,5.5,Witibier,19.9,"A La Trape Witbier é a primeira cerveja do estilo a ser produzida por uma cervejaria trapista. Sua fermentação é contínua dentro da garrafa e apesar de ser uma cerveja que combina com o verão, não deixa de ser uma boa companhia em qualquer época do ano. Esta cerveja é produzida sem as especiarias conhecidas do estilo como casca de laranja e coentro. Esta tarefa fica por conta do lúpulo Saphir. Turva e não filtrada, esta cerveja é bastante frutada e aromática."
Guinness Special Export,330 ml,https://i.imgur.com/bDMeFZq.jpg,20,Ireland,8,Stout,39.9,"A cerveja Guinness Special Export é conhecida como a ""Guinness belga"" pois foi distribuída pela cervejaria belga John Martin S.A. Apresenta textura leve e cremosa, com sensação suave de efervescência e espuma cremosa de boa formação. Nos aromas e sabores apresenta notas de café torrado, chocolate amargo, melado, frutas escuras e caramelo."
